Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
Н А Алмаев; О В Мурашева; Ю В Бессонова; Н И Киселева,Generalized scales of content analysis of projective narratives in test of social motivation (TSM). Their validity and specifics. Part 1,2016,022-545-457-747-517,10.17759/exppsy.2016090409,1
Anastasia Petrakova; Evgenia Lebedeva; Yulia Kuzmina; Evgenia Yurchik,Experience in Creating a Russian Database of Faces Expressing Various Emotions: The First Stage,2024,023-083-484-410-103,10.17323/1813-8918-2024-2-423-431,1
T.V. Drobysheva; I.V. Larionov,CONNECTION BETWEEN SOCIAL-PSYCHOLOGICAL SATIETY AND SOCIAL REPRESENTATIONS ANOUT MEGACITY IN GOFFERENT GROUPS OF YOUNG CITY DWELERS,2021,024-063-187-534-570,10.38098/ipran.sep_2021_24_4_07,0
Natalia N. Smirnova,M. О. GERSHENZON ON PUSHKIN’S “IMMANENT PHILOSOPHY” AND “THERMODYNAMIC PSYCHOLOGY”. METAPHOR AND NON-METAPHORICAL MEANING,2019,024-185-589-221-863,10.26170/fk19-03-16,0
Alexander V. Makhnach; Anna I. Laktionova;Yulia V. Postylyakova; Irina A. Gorkovaya; Anastasya.V. Miklyaeva; Nadezhda M. Sarayeva; Alexey A. Sukhanov,GENDER DIFFERENCES IN RESILIENCE AND PSYCHOPATHOLOGICAL SYMPTOMS AMONG YOUTH FROM REGIONS WITH DIFFERENT ENVIRONMENTAL CONDITIONS OF LIFE,2022,024-419-334-760-995,10.38098/ipran.opwp_2022_24_3_001,0
Nestik,Development of digital technologies and the futureof psychology,2017,024-920-842-758-380,10.18384/2310-7235-2017-3-6-15,4
Ekaterina Valueva; Anastasia Panfilova; Antonina Rafikova,Automatic Scoring of Verbal Divergent Thinking Tests: From Lexical Databases to Large Language Models,2024,025-973-417-012-778,10.17323/1813-8918-2024-1-202-225,0
K.I. Ananyeva,"Other Race Effect: Theoretical Concepts, Research Tools, Experimental Data",2021,026-492-819-121-423,10.17759/exppsy.2021140408,0
Aigul A. Aldasheva; Alexander A. Lekalov; Olga N. Sivash; Oksana V. Runets,STAGES OF METHODOLOGY DEVELOPMENT CLINICAL AND PSYCHOLOGICAL EXPERTISE OF PILOTS,2022,026-825-784-029-549,10.38098/ipran.opwp_2022_25_4_003,0
A.A.Grigoriev; E M Lapteva,Intellectual competitiveness of a country: the problem of national IQ mediation,2018,027-246-219-946-969,10.17759/exppsy.2018110311,1
Svetlana A. Kotovskaya;Alexander V. Makhnach,INTERRELATION OF WORKABILITY AND INDIVIDUAL PSYCHOLOGICAL CHARACTERISTICS OF THE EXTREME PROFESSIONS SPECIALISTS WITH THEIR OPTIMAL LEVEL OF RESILIENCE,2022,028-725-101-032-306,10.38098/ipran.opwp_2022_25_4_002,1
Yu.V. Kovaleva;A.L. Zhuravlev; A.A. Kostrigin,"FIVE YEARS OF ELECTRONIC JOURNAL ""INSTITUTE OF PSYCHOLOGY OF THE RAS. SOCIAL AND ECONOMIC PSYCHOLOGY"": SCIENTOMETRICS ANALYSIS OF THE RESULTS OF THE WORK",2021,028-998-213-509-539,10.38098/ipran.sep_2021_23_3_11,0
P A Sabadosh,Aesthetic responsiveness in Russian and Azerbaijani youths,2018,029-259-315-483-525,10.17759/jmfp.2018070209,1
S. V. Nekrasov,К вопросу о методах воздействия на общественное сознание,2020,029-509-201-270-512,10.34020/2073-6495-2020-4-184-201,1
Galina Ozhiganova; Ожиганова Галина Валентиновна,"SELF-REGULATION AND SELF-REGULATORY CAPACITIES: COMPONENTS, LEVELS, MODELS",2018,031-068-102-075-077,10.22363/2313-1683-2018-15-3-255-270,13
Aigul A. Aldasheva; Natalia G. Melnikova,SEMI-STRUCTURED INTERVIEW IN THE PROFESSIONAL SELECTION FOR THE POSITION: THEORETICAL AND METHODOLOGICAL ASPECTS,2022,031-310-324-615-975,10.38098/ipran.opwp_2022_24_3_004,0
Anastasiya M. Borisova,MANIFESTATIONS OF COLLECTIVITY AS A PSYCHOLOGICAL FACTOR OF INTEGRATION IN THE CULTURE OF HOLIDAYS,2017,031-549-581-666-153,10.18384/2310-7235-2017-4-30-37,1
Kubrak; Kubrak,"Post-Event Cinema Discourse: Concept, Functioning, Case Study",2019,031-624-064-083-272,10.22363/2313-1683-2019-16-4-600-617,2
Anatoly N. Voronin; Воронин Анатолий Николаевич,Modifications of Semantic Space of Interpersonal Perception of Bilingualism at Different Levels of Discursive Abilities,2018,031-837-237-010-581,10.22363/2313-1683-2018-15-4-410-430,1
E. Vlasenkova; M.Gagarina,Attitudes to Social and Political Advertising Among Russian Youth,2020,032-216-618-944-067,10.26794/2308-944x-2019-7-4-39-44,1
И А Хватов; А Ю Соколов; А Н Харитонов,Modifying body schemata in skinks Tiliqua gigas,2016,032-703-408-443-270,10.17759/exppsy.2016090305,4
N M Lapteva; E.Valueva; E.A. Shepeleva,The Problem of Influence of Children’s Birth Order in the Family on Their Intellectual Abilities and Personality Traits,2019,032-933-914-207-194,10.17759/jmfp.2019080208,0
A.A. Mezentseva; V.V. Rostovtseva; A.A. Demidov; M.L. Butovskaya,Facial Cues to Physical Strength in Tuvans,2022,033-316-558-618-554,10.17759/exppsy.2022150307,1
А.А. Панкратова;Lyusin,Видеоролики для индукции эмоций в лабораторных условиях: нормативные данные и кросс-культурный анализ,2018,033-672-035-937-530,10.17759/exppsy.2018110201,2
A.L. Zhuravlev,MEMOIRS ABOUT E.V. SHOROKHOVA: THE LIFE AND PROFESSIONAL PATH OF THE SCIENTIST (TO 100 ANNIVERSARY),2022,033-834-163-638-702,10.38098/ipran.sep_2022_26_2_10,0
E.V. Gavrilova; S.S. Belova,Непреднамеренная переработка информации и вербальный интеллект,2017,034-426-220-191-825,10.17759/exppsy.2017100202,0
E.S. Samoylenko; K.I. Ananyeva; A.A. Demidov; D A Diveev,Systematic Methodology for Studying the Influence of the Perceptual Situation on the Subjective Assessment and Verbalization of Individual Psychological Characteristics of a Person,2023,035-048-423-362-015,10.17759/exppsy.2023160401,1
Galina Ozhiganova; Ожиганова Галина Валентиновна,Spiritual Capacities and Productive Life Activity of the Family,2018,035-100-897-891-213,10.22363/2313-1683-2018-15-4-395-409,0
Victoria Rostovtseva; Anna Mezentseva; Sonja Windhager; Marina Butovskaya,Altruistic Face: Experimental Study on Facial Morphology and Prosociality in Buryats of Southern Siberia,2021,035-411-016-830-348,10.17759/exppsy.2021140206,2
Anastasia E. Vorobieva,PSYCHOLOGICAL ATTITUDE TO BRAND WARS DEPENDING ON DIFFERENT LEVELS OF PERSONAL AGGRESSIVENESS,2016,035-500-150-942-61X,10.18384/2310-7235-2016-4-55-70,0
B G Meshcheryakov; I V Ponomarev,Michael Cole as the Mediator and Integrator of Cultural-Historical Psychology,2018,036-730-302-903-127,10.17759/chp.2018140407,0
Aleksandr Nikolaevich Kornetov; Boris Dmitrievich Tsygankov; Vladimir Vladimirovich Kornilov,The role of professional communities in continuing professional education using the example of the Russian Society of Psychiatrists,2025,037-353-097-916-847,10.23951/2782-2575-2025-1-73-86,0
A.V. Didenko; O.M. Pisarev; E.A. Mal'tseva,"Характеристика проагрессивных факторов, влияющих на агрессивное поведение осужденных, отбывающих уголовные наказания в местах лишения свободы за сексуальные преступления",2021,038-426-869-435-56X,10.17759/psylaw.2021110105,0
Rudolf Pikhoya,Уральская археографическая экспедиция и изучение истории духовной культуры Урала,2015,038-749-594-448-72X,10.15826/qr.2015.2.093,0
Л.А. Кретова; М.И. Воловикова,"Ностальгическое переживание, суверенность и удовлетворенность жизнью у приверженцев городской и загородной жизни",2022,038-843-499-235-92X,10.17323/1813-8918-2022-1-76-92,0
Karina R. Arutyunova; I. M. Sozinova; Yuri I. Alexandrov,Brain activity during moral judgement of action,2020,039-687-591-087-768,10.17759/jmfp.2020090206,3
N.M. Sarayeva; E.A. Igumnova;A.V. Makhnach; A.V. Miklyayeva; I.A. Gor'kovaya; A.I. Laktionova; Yu.V. Postylyakova; A.A. Sukhanov,CITIZEN SCIENCE AND INTERNATIONAL COLLABORATION IN SOCIAL-PSYCHOLOGICAL RESEARCH,2021,041-156-703-037-60X,10.38098/ipran.sep_2021_24_4_01,4
N.N. Vasilyeva; G.I. Rozhkova,Perception of Virtual Stereo Objects: Spatial Perceptual Effects Caused by The Peculiarities in Interaction of Visual Mechanisms,2021,041-299-868-838-366,10.17759/exppsy.2021140306,4
Kubrak; A.A. Starostina,Narrative Transportation as a Factor in the Psychological Impact of Films,2023,042-348-215-993-400,10.17759/chp.2023190403,1
Arsenii S. Bakanov,JOB SATISFACTION THE SUBJECT OF LABOR ACTIVITY FROM REMOTE INTERACTION WITH INFORMATION SYSTEMS,2022,042-409-404-636-409,10.38098/ipran.opwp_2022_24_3_002,1
И В Пономарев,Дискуссионные вопросы кросс-культурных исследований влияния грамотности на когнитивное развитие и концепция симпрактического общества,2007,042-540-073-164-307,10.17759/chp.2007030407,2
K.V. Sugonyaev; A.A.Grigoriev; A.S. Panfilova,The Flinn Effect in Russia: Impact of Settlements’ Size,2021,045-689-352-870-209,10.17759/exppsy.2021140308,0
A.L. Zhuravlev; E.N. Kholondovich,"LABORATORY OF THE HISTORY OF PSYCHOLOGY AND HISTORICAL PSYCHOLOGY OF THE INSTITUTE OF PSYCHOLOGY, RUSSIAN ACADEMY OF SCIENCES: RESULTS OF WORK IN 2020 AND PROSPECTS OF DEVELOPMENT",2021,046-387-095-084-276,10.38098/ipran.sep_2021_23_3_12,0
V A Barabanschikov;Zhegallo,Dynamics of Key Facial Points as an Indicator of the Credibility of Reported Information,2021,047-017-116-459-494,10.17759/exppsy.2021140207,0
A.A.Grigoriev; Т Н Ушакова,Investigating wordʼs semantic component with qualitative analysis,2017,047-303-247-571-133,10.17759/exppsy.2017100302,1
V. N. Chikhman; V.M. Bondarko,Оценка ориентации линий в зависимости от набора дополнительных изображений,2021,047-798-740-264-134,10.17759/exppsy.2021140101,1
М А Падун; Е А Сорокко,Регуляция эмоций у лиц с повышенным риском психической травматизации (на выборке сотрудников МВД),2019,048-317-888-252-494,10.17759/psylaw.2019090405,2
А.А. Алдашева; М.Е. Зеленова; О.В. Рунец,TOLERANCE TO UNCERTAINTY IN PILOTS WITH DIFFERENT LEVELS OF SELF-TRUST,2020,048-702-863-735-204,10.38098/ipran.opwp.2020.16.3.007,2
O I Makhovskaya,The Impact of Media on the Formation of Generations of ‘Hamlets’ and ‘Don Quixotes’ in Russia,2019,050-391-047-532-325,10.17759/chp.2019150213,2
Vladimir Lepskiy,Philosophical-Methodological Basis for the Formation of Third-Order Cybernetics,2018,050-410-965-550-515,10.30727/0235-1188-2018-10-7-36,9
К Р Арутюнова; А.В. Бахчина; А.К. Крылов; Ю.И. Александров,Воздействие алкоголя на сердечный ритм и оценку действий при решении моральных дилемм,2017,050-985-569-174-746,10.17759/exppsy.2017100102,5
Aminat Vislova,The Problem of Face recognition in Psychology and Artificial Intelligence,2021,051-912-956-167-545,10.18254/s207751800015009-8,1
A N Kamnev; T A Mikhailova; I.B. Shilinа,Emotional Burnout and Stress in Social Workers,2024,052-054-164-417-778,10.17759/jmfp.2023120413,4
Anastasia E. Vorobieva; Yaroslav V. Ovchinnikov,MECHANISMS OF YOUTH’S SOCIAL PERCEPTION OF GOODS OF THE PREMIUM CATEGORY AND THEIR ADVERTISING,2019,052-174-098-587-598,10.18384/2310-7235-2019-3-76-89,0
Anatoly N. Voronin,EFFICIENCY OF COLLECTIVE INTELLECTUAL ACTIVITIES IN THE PROCESS OF GROUP PROBLEM SOLVING,2016,052-582-481-462-467,10.18384/2310-7235-2016-3-22-29,1
Pozniakov,EVOLUTION OF K.K. PLATONOV'S IDEAS ABOUT THE PLACE OF SOCIAL PSYCHOLOGY IN THE SYSTEM OF PSYCHOLOGICAL SCIENCES AND ITS BRANCHES,2021,053-274-509-677-550,10.38098/ipran.sep_2021_22_2_08,0
K.V. Sugonyaev; A.A.Grigoriev,The Flynn Effect in Russia,2019,053-342-771-953-612,10.17759/exppsy.2019120404,1
E A Nikitina,Attribution of Emotions to Neutral Faces by Adolescents In the Pre- And Postoperative Period and Their Mothers,2021,053-807-898-229-848,10.17759/exppsy.2021140204,1
А. С. Баканов,DEVELOPMENT OF A SIMULATION MODEL OF THE BEHAVIOR OF A SUBJECT OF LABOR ON THE LABOR MARKET,2020,053-894-511-621-561,10.38098/ipran.opwp.2020.16.3.004,0
A A Aldasheva; Svetlana V. Gutsykova; Marina E. Zelenova,PROFESSIONAL MENTALITY AS A REGULATOR OF SOCIALEDUCATORS’ ACTIVITIES,2018,054-451-962-788-495,10.18384/2310-7235-2018-2-20-36,2
Pozniakov,A COMPARISON OF THE VIEWS OF K.K. PLATONOV AND V.N. MYASISHCHEV ON THE PHENOMENON AND THE CONCEPT OF ATTITUDE IN SOCIAL PSYCHOLOGY,2021,055-635-141-359-784,10.38098/ipran.sep_2021_24_4_02,1
Vladimir P. Poznyakov; Yulia M. Panfilova,PERSONAL ORIENTATION FACTORS IN INTERACTION WITH THE PARTNER AND RELATIONS PERSPECTIVE IN AN UNREGISTERED MARRIAGE,2020,056-344-765-881-411,10.18384/2310-7235-2020-3-73-86,0
V A Barabanschikov;Zhegallo; Y G Khoze; A V Solomonova,Nonverbal predictors in the estimates of truthful and deceptive statements,2018,057-627-320-440-855,10.17759/exppsy.2018110408,4
M. A. Sushchin,Psychology and Neuroscience: Problems of Integration,2019,058-127-430-668-135,10.30727/0235-1188-2019-62-1-89-105,0
K.I. Ananyeva; N.O. Tovuu,Адекватность межрасового восприятия личности человека по выражению его лица в коммуникативной ситуации,2019,058-222-352-931-49X,10.17759/exppsy.2019120201,0
A.V. Zhegallo,Direct Image Comparison: the Boundaries of Applicability of the «Discrete» and «Multidimensional» Models of Perception of Emotional Expressions,2021,058-483-021-212-672,10.17759/exppsy.2021140203,0
Natalia D. Eliseeva; Елисеева Наталья Дмитриевна,Dynamics of Representations about Moral Person in Sakha Adolescents (2002-2017),2019,058-664-861-700-284,10.22363/2313-1683-2019-16-2-147-162,0
V.F. Rubakhin,“ARTIFICIAL INTELLIGENCE” AND DECISION-MAKING,2021,058-980-328-760-427,10.38098/ipran.opwp_2021_20_3_011,0
L. S. Evert; T. V. Potupchik; Yu. R. Kostyuchenko,"Characteristics of online behavior and structure of consumed content in Abakan adolescents of different age, groups and ethnicity",2022,059-336-482-526-988,10.29413/abs.2022-7.2.25,0
G.M. Golovina;T N Savchenko,Features of Measuring the Subjective Quality of Life in Different Diagnostic Approaches,2020,059-833-170-218-705,10.17759/exppsy.2020130313,1
Ivan A. Khvatov; A.Yu. Sokolov; Alexander N. Kharitonov,Rats May Take into Account Dtheir Own Body Weight,2021,059-882-333-060-385,10.17759/exppsy.2021140303,0
T N Grechenko; A N Kharitonov;Zhegallo,Эволюционные пути электрических осцилляторов,2015,060-437-214-882-677,10.17759/exppsy.2015080208,1
A.L. Zhuravlev; L.G. Pochebut; V.A. Chiker,E.S. KUZMIN's CONTRIBUTION TO THE DEVELOPMENT OF THE METHODOLOGY OF RUSSIAN SOCIAL PSYCHOLOGY (TO THE 100<sup>th</sup> ANNIVERSARY OF HIS BIRTH),2021,060-539-320-347-202,10.38098/ipran.sep_2021_24_4_09,0
K.I. Ananyeva; A.A. Demidov;E.S. Samoylenko,Interpersonal Perception: how the Situation Determines Our Assessment of Another Person,2022,061-390-019-174-350,10.17759/exppsy.2022150301,1
N.D. Pavlova; T.A. Grebenschikova,Post-eventual discourse in online communities: intentional structure and the manners of discursive impact,2020,061-602-763-427-506,10.17759/exppsy.2020130110,1
Fedor Marchenko; Olga Makhovskaya,The Impact of Empathy and Fear on Solidarity during a Pandemic,2024,062-942-812-534-680,10.17323/1813-8918-2024-2-239-254,0
К В Корсаков,Суицид в фокусе криминологической науки,2020,064-095-711-051-127,10.17759/psylaw.2020100308,3
Olga Aleksandrova; Gulnara I. Alekseeva; Lukas Allemann; Vladislava Vladimirova; Alexander Volkov,Social risks in modern society,2020,064-620-766-638-075,10.12731/978-5-907208-38-4,1
Yu.V. Kovaleva,"HISTORY OF FORMATION OF THE CONCEPT OF ""LARGE SOCIAL GROUPS"". PART 4. MODERN STAGE OF SOCIAL PSYCHOLOGY DEVELOPMENT (2000-PRESENT)",2021,065-797-785-410-471,10.38098/ipran.sep_2021_23_3_01,0
A.A. Kostrigin,"PSYCHOLOGY OF THE RUSSIAN PEOPLE IN N.A. NEKRASOV'S POETRY (ACCORDING TO THE MATERIALS OF THE PUBLICATIONS OF THE FIRST THIRD OF THE 20TH CENTURY, DEDICATED TO THE POET AND HIS CREATIVITY)",2021,066-473-916-179-237,10.38098/ipran.sep_2021_24_4_13,0
N.V. Borisova,LEGAL CONSCIOUSNESS OF A REPRESENTATIVE OF A MORAL ELITE (ON THE EXAMPLE OF ATHOS). PART 1: THE LIFE PATH AND THE NATURE OF LIFE ACTIONS,2021,067-580-687-119-811,10.38098/ipran.sep_2021_22_2_05,0
Yury Stolyarov,Black pages in the Soviet book studies (based on the correspondence between Nikolas Rubakin and Nikolai Somov). Part 2,2018,068-480-695-497-044,10.33186/1027-3689-2018-3-81-95,0
Kubrak,PSYCHOLOGICAL CORRELATES OF MOVIE PREFERENCES IN THE SITUATION  OF THE COVID-19 PANDEMIC,2023,068-667-352-131-809,10.17323/1813-8918-2023-4-814-831,0
M Buchholz; V A Agarkov; H Kächele,Applying the conversational analysis strategies to psychoanalytic process research. RHYTHM AND BLUES: 152ND session with Amalia (PART 2),2017,070-181-823-817-762,10.17759/cpp.2017250408,1
A I Melehin; E A Sergienko,The Subjective Age As a Predictor of Vital Functions of Elder People,2015,070-446-815-580-081,10.17759/jmfp.2015040301,6
