"from","to"
"last_hranitel","4966330"
"last_hranitel","4789981"
"NataKaz","4985168"
"NataKaz","4987735"
"NataKaz","4789981"
"NataKaz","5025083"
"matveysh","4789981"
"matveysh","4987764"
"matveysh","4966330"
"Darrinius","4789981"
"Kolyat","4789981"
"Kolyat","4971356"
"Paravil","4789981"
"Paravil","4984485"
"Dex2_0","4789981"
"Dex2_0","4984505"
"olpl2411","4789981"
"fongol","4789981"
"fongol","4998981"
"TheCreator13347","4789981"
"GoOSeY_PiPe_","4789981"
"GoOSeY_PiPe_","4983484"
"GoOSeY_PiPe_","27675749"
"kamazZZZ","4789981"
"kamazZZZ","4959462"
"dima150909","29489658"
"dima150909","4789981"
"dima150909","4947381"
"dima150909","4951219"
"Veron_Elma","4789981"
"Veron_Elma","4973043"
"spidypool","4789981"
"spidypool","4973043"
"amaliyasupermilk","4789981"
"amaliyasupermilk","4973043"
"Pendolina","4789981"
"Pendolina","4973043"
"ya_artem","5021554"
"ya_artem","4789981"
"ya_artem","4971356"
"ya_artem","5035819"
"ya_artem","35597821"
"dima_pragrammist","4789981"
"dima_pragrammist","4951321"
"dima_pragrammist","36279833"
"Sokolinyj_glaz","4789981"
"Sokolinyj_glaz","4947381"
"Sokolinyj_glaz","4970883"
"ffcvgc1","4789981"
"ffcvgc1","4970889"
"Endro2018","4789981"
"Endro2018","4947381"
"Endro2018","4971044"
"RUNLION","4789981"
"vovan283","4223465"
"vovan283","4789981"
"vovan283","5038816"
"vovan283","5038819"
"vovan283","5038827"
"vovan283","153652"
"vovan283","5285623"
"vovan283","27926932"
"vovan283","28315759"
"vovan283","30603248"
"vovan283","32723027"
"79tgl","4959546"
"79tgl","4789981"
"delik_csh","4789981"
"delik_csh","4944242"
"delik_csh","5261935"
"delik_csh","4944231"
"alin-malin","4789981"
"Badros","4789981"
"Duolex","1155878"
"Duolex","4789981"
"Duolex","26976871"
"oksana-chigir","31488157"
"oksana-chigir","28597037"
"oksana-chigir","28639769"
"oksana-chigir","4789981"
"oksana-chigir","4126184"
"swimmer158","4789981"
"ToriNN06","4789981"
"ERTAsoN","6923588"
"ERTAsoN","4419041"
"ERTAsoN","5587418"
"ERTAsoN","5587645"
"ERTAsoN","28616593"
"ERTAsoN","1989363"
"ERTAsoN","4789981"
"ERTAsoN","36279833"
"Almirynia","4789981"
"Almirynia","4956224"
"Almirynia","5003204"
"Almirynia","5003208"
"Velanr","4789981"
"krylgala","29049472"
"krylgala","29049438"
"krylgala","25909111"
"krylgala","25909110"
"krylgala","6034113"
"krylgala","30293950"
"krylgala","1924057"
"krylgala","4885488"
"krylgala","4885477"
"krylgala","3853257"
"krylgala","1924076"
"krylgala","19412345"
"krylgala","1027000"
"krylgala","4789981"
"krylgala","3620103"
"krylgala","374716"
"krylgala","374702"
"krylgala","212862"
"krylgala","4286300"
"krylgala","33696154"
"krylgala","34038806"
"krylgala","36092327"
"krylgala","37080388"
"krylgala","193945"
"krylgala","331715"
"krylgala","193944"
"krylgala","488294"
"krylgala","25203959"
"krylgala","33624580"
"krylgala","33640550"
"krylgala","33838114"
"krylgala","33969674"
"krylgala","33071448"
"krylgala","156318"
"krylgala","156317"
"krylgala","115492"
"krylgala","3778830"
"krylgala","76086"
"Maag2091","4789981"
"Maag2091","5036819"
"Onego-San","4789981"
"Onego-San","5323832"
"Renat123","4789981"
"andreym2006","16346"
"andreym2006","24379"
"andreym2006","28276"
"andreym2006","31796"
"andreym2006","55641"
"andreym2006","105751"
"andreym2006","135894"
"andreym2006","139364"
"andreym2006","174525"
"andreym2006","188015"
"andreym2006","190841"
"andreym2006","206056"
"andreym2006","207794"
"andreym2006","218419"
"andreym2006","218753"
"andreym2006","237148"
"andreym2006","276656"
"andreym2006","279942"
"andreym2006","723930"
"andreym2006","812936"
"andreym2006","1829565"
"andreym2006","1941066"
"andreym2006","1989363"
"andreym2006","2016750"
"andreym2006","2080098"
"andreym2006","2087244"
"andreym2006","3962343"
"andreym2006","4968835"
"andreym2006","4981031"
"andreym2006","5138936"
"andreym2006","5197472"
"andreym2006","5265301"
"andreym2006","5639477"
"andreym2006","5652011"
"andreym2006","209938"
"andreym2006","9555649"
"andreym2006","12114043"
"andreym2006","14334780"
"andreym2006","14552423"
"andreym2006","25084976"
"andreym2006","25225554"
"andreym2006","25272866"
"andreym2006","25317073"
"andreym2006","25390272"
"andreym2006","25413344"
"andreym2006","25413840"
"andreym2006","25449050"
"andreym2006","25496614"
"andreym2006","25524255"
"andreym2006","25530203"
"andreym2006","25532062"
"andreym2006","25541896"
"andreym2006","25598666"
"andreym2006","25671371"
"andreym2006","25672405"
"andreym2006","25676304"
"andreym2006","25676767"
"andreym2006","25682567"
"andreym2006","25870437"
"andreym2006","25984572"
"andreym2006","16409"
"andreym2006","54257"
"andreym2006","226862"
"andreym2006","236356"
"andreym2006","245147"
"andreym2006","272822"
"andreym2006","1261988"
"andreym2006","1682135"
"andreym2006","1743560"
"andreym2006","1801732"
"andreym2006","56"
"andreym2006","342467"
"andreym2006","837830"
"andreym2006","2978264"
"andreym2006","4789981"
"andreym2006","5689987"
"andreym2006","5695326"
"andreym2006","5698505"
"andreym2006","7301352"
"UserDen","4789981"
"UserDen","4852111"
"Tim_0508","3951893"
"Tim_0508","4306254"
"Tim_0508","4362949"
"Tim_0508","4431618"
"Tim_0508","4601678"
"Tim_0508","4852170"
"Tim_0508","4969020"
"Tim_0508","4495204"
"Tim_0508","1801732"
"Tim_0508","25273127"
"Tim_0508","25993016"
"Tim_0508","10235543"
"Tim_0508","4647910"
"Tim_0508","26513358"
"Tim_0508","26547853"
"Tim_0508","5801323"
"Tim_0508","5804065"
"Tim_0508","4439315"
"Tim_0508","4592690"
"Tim_0508","5261935"
"Tim_0508","5600047"
"Tim_0508","5029548"
"Tim_0508","5256490"
"Tim_0508","5277982"
"Tim_0508","5970593"
"Tim_0508","5209415"
"Tim_0508","5261204"
"Tim_0508","5255964"
"Tim_0508","3707989"
"Tim_0508","5209414"
"Tim_0508","5257941"
"Tim_0508","5210238"
"Tim_0508","4522321"
"Tim_0508","4533384"
"Tim_0508","31992168"
"Tim_0508","4592161"
"Tim_0508","5073915"
"Tim_0508","5047558"
"Tim_0508","4595529"
"Tim_0508","4789981"
"Tim_0508","4981407"
"Tim_0508","5039903"
"Tim_0508","4991184"
"Tim_0508","26286594"
"Tim_0508","4993296"
"Tim_0508","1817758"
"Tim_0508","3467282"
"Tim_0508","3849860"
"Tim_0508","4609736"
"Tim_0508","6222077"
"Tim_0508","6259983"
"Tim_0508","50899513"
"Tim_0508","4868070"
"Tim_0508","263835"
"Tim_0508","1690329"
"Tim_0508","2106443"
"Tim_0508","4274766"
"Tim_0508","30603248"
"Tim_0508","4228481"
"Tim_0508","4432377"
"Tim_0508","4492914"
"Tim_0508","33195832"
"Tim_0508","25874558"
"Tim_0508","3643149"
"Tim_0508","3917230"
"Tim_0508","4313704"
"Tim_0508","4520271"
"Tim_0508","33257754"
"Tim_0508","33588564"
"Tim_0508","33588568"
"Tim_0508","36008976"
"Tim_0508","4404350"
"Tim_0508","4510259"
"Tim_0508","4569452"
"Tim_0508","4431697"
"Tim_0508","4595321"
"Tim_0508","4596842"
"Tim_0508","4506396"
"Tim_0508","4554208"
"Tim_0508","4108162"
"Tim_0508","4508618"
"Tim_0508","488294"
"Tim_0508","3527412"
"Tim_0508","4412934"
"Tim_0508","4412953"
"Tim_0508","4505532"
"Tim_0508","28136195"
"Tim_0508","30607092"
"Tim_0508","3997354"
"Tim_0508","4431720"
"Tim_0508","3472117"
"Tim_0508","4216801"
"Tim_0508","4333395"
"Tim_0508","4372785"
"Alex_Alex","4789981"
"Alex_Alex","1935185"
"Alex_Alex","73443"
"tata18y12","4789981"
"tata18y12","4947381"
"tata18y12","4991073"
"GalaxyanAs","4789981"
"VisualClony","3686793"
"VisualClony","3849860"
"VisualClony","499222"
"VisualClony","3473658"
"VisualClony","4628161"
"VisualClony","4789981"
"VisualClony","4526656"
"VisualClony","3931608"
"VisualClony","3984688"
"VisualClony","4228481"
"VisualClony","3755311"
"VisualClony","218419"
"VisualClony","2976891"
"VisualClony","3678832"
"VisualClony","2216480"
"VisualClony","3671197"
"VisualClony","28276"
"VisualClony","279942"
"VisualClony","3010481"
"VisualClony","4658637"
"VisualClony","2056528"
"VisualClony","2926472"
"VisualClony","2999297"
"VisualClony","3459744"
"VisualClony","2945059"
"VisualClony","259979"
"VisualClony","1738309"
"VisualClony","1841787"
"hanterr_mav","50599386"
"hanterr_mav","5077316"
"hanterr_mav","4789981"
"hanterr_mav","5035772"
"Pylenok_Sasha","4789981"
"Pylenok_Sasha","4983490"
"dondukov_slava","4789981"
"maksesquire","4789981"
"apasov_egor","4789981"
"udin_danil","4789981"
"Tigrenok275","5098054"
"Tigrenok275","4150358"
"Tigrenok275","4468017"
"Tigrenok275","4789981"
"Tigrenok275","4968583"
"Sema0304","4663659"
"Sema0304","4789981"
"Sema0304","4932517"
"Sema0304","4791599"
"Sema0304","4806080"
"Sema0304","4930951"
"marina4213567","1703752"
"marina4213567","6049070"
"marina4213567","4789981"
"marina4213567","1703728"
"nastya200619","4789981"
"Midorima666","4789981"
"Midorima666","36279833"
"Alina7766","4789981"
"policat333","4789981"
"tanya20078","4789981"
"KillFoxed","4789981"
"LoL_KeK_Chebyrek_1","4789981"
"Gromozek","4789981"
"Gromozek","5010030"
"-Elik-","4789981"
"Vas555","4789981"
"Vas555","31100474"
"Optimoos2008","4789981"
"Optimoos2008","5038186"
"LeoSLeo","4789981"
"LeoSLeo","5038702"
"sovaN4_ar","4789981"
"Alexandr2142470","4789981"
"Alexandr2142470","5029281"
"argayash","4789981"
"tyolson","3940863"
"tyolson","4466842"
"tyolson","456776"
"tyolson","488294"
"tyolson","517311"
"tyolson","1213514"
"tyolson","1985815"
"tyolson","2030555"
"tyolson","2104708"
"tyolson","3638415"
"tyolson","3670786"
"tyolson","3678004"
"tyolson","3688030"
"tyolson","3773272"
"tyolson","3894522"
"tyolson","4017271"
"tyolson","413372"
"tyolson","527140"
"tyolson","2248265"
"tyolson","2539000"
"tyolson","3661877"
"tyolson","3707989"
"tyolson","25161354"
"tyolson","348393"
"tyolson","487504"
"tyolson","492952"
"tyolson","1464150"
"tyolson","1785747"
"tyolson","4053531"
"tyolson","4789981"
"Danacat1","4956263"
"Danacat1","4973149"
"Danacat1","4789981"
"Oganisyan_TE","4789981"
"NIK253","4789981"
"2005il","4789981"
"2005il","5037347"
"Someoneee","4789981"
"McCubIk","4789981"
"ProgRussia","4789981"
"ProgRussia","5037001"
"38_man","4789981"
"Vova220","5929084"
"Vova220","4789981"
"Vova220","488267"
"Vova220","487504"
"Vova220","475543"
"Vova220","475547"
"Vova220","475517"
"Vova220","475527"
"ermolov_i","4789981"
"ermolov_i","5033120"
"Summoleany","4789981"
"Summoleany","5036808"
"JV_D","30682450"
"JV_D","1879099"
"JV_D","3951893"
"JV_D","25305772"
"JV_D","27096692"
"JV_D","28413697"
"JV_D","488294"
"JV_D","3459829"
"JV_D","4223465"
"JV_D","34252581"
"JV_D","27624951"
"JV_D","26184571"
"JV_D","28574448"
"JV_D","6075853"
"JV_D","27053477"
"JV_D","27594606"
"JV_D","174525"
"JV_D","1682135"
"JV_D","1989363"
"JV_D","2031180"
"JV_D","4859165"
"JV_D","5294573"
"JV_D","5621706"
"JV_D","5749372"
"JV_D","6259983"
"JV_D","19385719"
"JV_D","25031957"
"JV_D","25091111"
"JV_D","25246708"
"JV_D","25684322"
"JV_D","25990125"
"JV_D","26180415"
"JV_D","26474597"
"JV_D","26808162"
"JV_D","26517912"
"JV_D","26602478"
"JV_D","26679832"
"JV_D","31687619"
"JV_D","25482444"
"JV_D","26170697"
"JV_D","26304923"
"JV_D","26311227"
"JV_D","26562900"
"JV_D","26746541"
"JV_D","2019180"
"JV_D","29563712"
"JV_D","32071650"
"JV_D","26756891"
"JV_D","279942"
"JV_D","4843675"
"JV_D","5267935"
"JV_D","5816204"
"JV_D","27628196"
"JV_D","32693730"
"JV_D","256756"
"JV_D","25281896"
"JV_D","25906958"
"JV_D","26132382"
"JV_D","26208514"
"JV_D","26258069"
"JV_D","26258281"
"JV_D","26259363"
"JV_D","26259576"
"JV_D","26262821"
"JV_D","26275287"
"JV_D","26277129"
"JV_D","26277782"
"JV_D","26279570"
"JV_D","26282462"
"JV_D","26313490"
"JV_D","26393298"
"JV_D","26419861"
"JV_D","26534087"
"JV_D","26540318"
"JV_D","26642884"
"JV_D","26663187"
"JV_D","26715967"
"JV_D","26906276"
"JV_D","26978622"
"JV_D","27716228"
"JV_D","31796"
"JV_D","337342"
"JV_D","1687299"
"JV_D","3687039"
"JV_D","3817180"
"JV_D","3917230"
"JV_D","4077407"
"JV_D","4262017"
"JV_D","5686342"
"JV_D","7106171"
"JV_D","7671754"
"JV_D","8133270"
"JV_D","25074391"
"JV_D","25249502"
"JV_D","25280567"
"JV_D","25873241"
"JV_D","34215536"
"JV_D","25283877"
"JV_D","25926798"
"JV_D","25950173"
"JV_D","25969314"
"JV_D","25986473"
"JV_D","26189996"
"JV_D","24379"
"JV_D","186261"
"JV_D","31502869"
"JV_D","25871580"
"JV_D","27144359"
"JV_D","33015343"
"JV_D","206056"
"JV_D","7983130"
"JV_D","26384357"
"JV_D","26520671"
"JV_D","27628493"
"JV_D","27695016"
"JV_D","30801232"
"JV_D","33925310"
"JV_D","36171862"
"JV_D","36717522"
"JV_D","4053531"
"JV_D","6236657"
"JV_D","11920146"
"JV_D","25417046"
"JV_D","27494292"
"JV_D","4590962"
"JV_D","5673172"
"JV_D","5804237"
"JV_D","25091241"
"JV_D","25208021"
"JV_D","25336592"
"JV_D","25351731"
"JV_D","25363967"
"JV_D","25354416"
"JV_D","25380628"
"JV_D","25837203"
"JV_D","30633409"
"JV_D","33700122"
"JV_D","4362949"
"JV_D","5342557"
"JV_D","25353283"
"JV_D","30128093"
"JV_D","30133447"
"JV_D","26279942"
"JV_D","26620044"
"JV_D","26713403"
"JV_D","27127907"
"JV_D","26471342"
"JV_D","28906186"
"JV_D","30611186"
"JV_D","30953719"
"JV_D","31018928"
"JV_D","31110745"
"JV_D","31152470"
"JV_D","31401754"
"JV_D","31902003"
"JV_D","33010398"
"JV_D","4439315"
"JV_D","5261935"
"JV_D","4789981"
"JV_D","29215337"
"JV_D","31266392"
"JV_D","5292289"
"JV_D","5304412"
"JV_D","36279833"
"JV_D","27801919"
"JV_D","27802700"
"JV_D","27852771"
"JONIK15001","4789981"
"kartashovaann","4789981"
"LeonardoDaKing","4789981"
"LeonardoDaKing","5036493"
"LeonardoDaKing","6049070"
"mikcvr12","4789981"
"XyGGiRaH","4789981"
"MaksNogliki","4789981"
"MaksNogliki","5002836"
"School_3","4789981"
"School_3","4924246"
"School_3","5036094"
"VaDiKs","4789981"
"VaDiKs","5022108"
"Kalipsonic","4789981"
"Kalipsonic","5033647"
"Pasha2004","4789981"
"CoolTurtle648","4789981"
"CoolTurtle648","4987728"
"Homadoma","4789981"
"pavlin_","4789981"
"pavlin_","5007015"
"beliaeffmark","4789981"
"beliaeffmark","5026859"
"SoVa150607","5097100"
"SoVa150607","5035819"
"SoVa150607","4789981"
"SoVa150607","4996100"
"__Kiss_ka__","4789981"
"__Kiss_ka__","4999652"
"__Kiss_ka__","4980766"
"sofibelom","4789981"
"sofibelom","5010028"
"sofibelom","4526958"
"sofibelom","4885488"
"VlaMal","4789981"
"VlaMal","5035755"
"Artem_15","4789981"
"Artem_15","5035676"
"zadiri","4789981"
"zadiri","4962570"
"zadiri","4973149"
"zadiri","4959549"
"December01312","4789981"
"LeraPolezhaeva","4789981"
"Miron_154","4789981"
"Miron_154","5030938"
"biatv","4789981"
"biatv","5033916"
"school_korotch6","4789981"
"stepan_a","4789981"
"stepan_a","5033120"
"rjn333","4789981"
"rjn333","5018416"
"rjn333","5518069"
"rjn333","4868074"
"rjn333","438992"
"rjn333","4572776"
"rjn333","36279833"
"nature_cat","4789981"
"nature_cat","5032891"
"VariaKotek","4789981"
"VariaKotek","5022411"
"firedank","4789981"
"firedank","5016811"
"MariChik","4789981"
"MariChik","5018475"
"dariasi","4789981"
"dariasi","5032410"
"Lisichko","5057797"
"Lisichko","4789981"
"Lisichko","5007022"
"s_tchikin","4789981"
"s_tchikin","5032831"
"Sonia376","4789981"
"Rapirus","4789981"
"Rapirus","4987817"
"Dakinson05","4789981"
"Dakinson05","4923008"
"Dakinson05","3666092"
"Dakinson05","3545750"
"Dakinson05","3584130"
"Dakinson05","3584009"
"Dakinson05","3534231"
"zsedx","4789981"
"zsedx","5035819"
"zsedx","488267"
"zsedx","475517"
"zsedx","475527"
"ALEX005KRYT","4789981"
"ALEX005KRYT","5010353"
"semsmir228","4789981"
"semsmir228","4965659"
"Anna0304Anna","4985033"
"Anna0304Anna","4789981"
"Anna0304Anna","5055472"
"lopdop91","4985033"
"lopdop91","5051441"
"lopdop91","4789981"
"AndreyPlyashchenko","4906016"
"AndreyPlyashchenko","4789981"
"antoni2009","4789981"
"georgu_klass3","4789981"
"georgu_klass3","4984491"
"Russiu1ru","4959845"
"Russiu1ru","4789981"
"Robot70","3459744"
"Robot70","3467282"
"Robot70","3728101"
"Robot70","4301320"
"Robot70","4590330"
"Robot70","4789981"
"Robot70","4984491"
"Robot70","5027027"
"Robot70","5083355"
"Colibri-1","25604096"
"Colibri-1","25716524"
"Colibri-1","4789981"
"Ivann7950","4789981"
"Ivann7950","5014520"
"anna2111","3530020"
"anna2111","4789981"
"KamillaMatviiv","4789981"
"Lankle","4789981"
"Lankle","5015857"
"tuleninov","3707989"
"tuleninov","4392569"
"tuleninov","4499991"
"tuleninov","4586101"
"tuleninov","4844756"
"tuleninov","4948409"
"tuleninov","5046198"
"tuleninov","5501479"
"tuleninov","5770573"
"tuleninov","5792587"
"tuleninov","5801047"
"tuleninov","4537975"
"tuleninov","4783718"
"tuleninov","4970960"
"tuleninov","5043134"
"tuleninov","5059315"
"tuleninov","5515302"
"tuleninov","5520998"
"tuleninov","5642961"
"tuleninov","5642968"
"tuleninov","5806686"
"tuleninov","4945381"
"tuleninov","4789981"
"tuleninov","4223465"
"tuleninov","4969020"
"tuleninov","4699014"
"tuleninov","27707565"
"tuleninov","28852619"
"ClassicNastya","4789981"
"ClassicNastya","5022349"
"Peterfireleft228","4789981"
"Peterfireleft228","5022364"
"StepanidaK","5067760"
"StepanidaK","25146855"
"StepanidaK","5019751"
"StepanidaK","4931838"
"StepanidaK","4789981"
"StepanidaK","4918826"
"StepanidaK","4985033"
"Danikdanik10","4789981"
"Danikdanik10","5261935"
"Pavel7","4789981"
"Pavel7","3822758"
"Ivan-007","4789981"
"Alex_Coder","4789981"
"SoNyA15101221","4789981"
"Vally1234","4789981"
"Vally1234","4996100"
"KAKASHK","4789981"
"Orel2575","4789981"
"FiXPlay","4789981"
"FiXPlay","4906120"
"FiXPlay","33275810"
"lic40","4789981"
"rathood2000","4931791"
"rathood2000","4970861"
"rathood2000","4789981"
"rathood2000","4931711"
"rathood2000","4947381"
"Nastya0007","7829198"
"Nastya0007","5106250"
"Nastya0007","4789981"
"Nastya0007","4947381"
"Nastya0007","4951216"
"Nastya0007","4951218"
"trololoshka19012009","4931711"
"trololoshka19012009","4789981"
"trololoshka19012009","4947381"
"trololoshka19012009","4931707"
"trololoshka19012009","4968525"
"Timurkin","5721603"
"Timurkin","4951242"
"Timurkin","5106249"
"Timurkin","4789981"
"Timurkin","4947381"
"Ksy18V","4789981"
"Ksy18V","4947381"
"Ksy18V","4970889"
"Ksy18V","4991073"
"Veliky_Bars_8","4789981"
"Veliky_Bars_8","5015622"
"Larion17","4789981"
"Larion17","5000064"
"Larion17","4526958"
"Larion17","4885488"
"Larion17","1924076"
"Larion17","1778005"
"tedi1233","4789981"
"tedi1233","4929645"
"tedi1233","4947381"
"tedi1233","4968806"
"HappyPirate007","4789981"
"HappyPirate007","4825860"
"Dena228","35857187"
"Dena228","3530020"
"Dena228","4789981"
"Dena228","3959044"
"Dena228","36279833"
"xypmunka","3530020"
"xypmunka","4789981"
"van4ik","3530020"
"van4ik","4789981"
"van4ik","1887946"
"van4ik","3778683"
"van4ik","25193896"
"van4ik","25684322"
"van4ik","25933652"
"van4ik","26177411"
"Arkangoo1","4987819"
"Arkangoo1","4987817"
"Arkangoo1","4789981"
"Oxik24","4789981"
"Nikitka32","4789981"
"Nikitka32","4947495"
"Shaihatarov","1320302"
"Shaihatarov","4789981"
"Shaihatarov","5035819"
"Shaihatarov","1475738"
"gamehunt1","4789981"
"gamehunt1","4944543"
"Dima-57","9940083"
"Dima-57","7829198"
"Dima-57","4789981"
"Dima-57","4947381"
"Dima-57","4951321"
"Xrenmorjovii1337","4956226"
"Xrenmorjovii1337","4789981"
"Baron_is_Bro","4789981"
"Baron_is_Bro","4956209"
"Baron_is_Bro","27549754"
"lod07","4789981"
"lod07","4977057"
"kotowilliam","4789981"
"kotowilliam","4947381"
"kotowilliam","4951215"
"zyabr","4789981"
"nikman89","4789981"
"KEFIR12","4789981"
"bezzubik","4789981"
"bezzubik","488267"
"bezzubik","487504"
"bezzubik","475543"
"bezzubik","475517"
"bezzubik","4373707"
"bezzubik","475527"
"bezzubik","475523"
"Noskov01","4789981"
"Noskov01","4999569"
"LeraShooll","4789981"
"lizsamor","26322475"
"lizsamor","25334084"
"lizsamor","5872272"
"lizsamor","5944332"
"lizsamor","5920382"
"lizsamor","5616633"
"lizsamor","6013112"
"lizsamor","5540176"
"lizsamor","25703510"
"lizsamor","35445332"
"lizsamor","35461688"
"lizsamor","25745681"
"lizsamor","5077316"
"lizsamor","5322379"
"lizsamor","25283877"
"lizsamor","5073390"
"lizsamor","5067517"
"lizsamor","5035772"
"lizsamor","4941320"
"lizsamor","4789981"
"lizsamor","4947897"
"Max0789","4789981"
"SEApps","5830017"
"SEApps","4789981"
"SEApps","4968587"
"AzazazinKreed","4789981"
"AzazazinKreed","4985033"
"YanYaroslavskiy2","4789981"
"YanYaroslavskiy2","4554763"
"Nadia_Golovina","4789981"
"Nadia_Golovina","4951643"
"NINDZIA2008","4789981"
"hjccbz","4789981"
"hjccbz","33015669"
"KriIva","4789981"
"MAXIMUSLU","4789981"
"MAXIMUSLU","4999699"
"Daniil2701","4789981"
"Russian_boys","4962624"
"Russian_boys","4789981"
"Mishamaster","4789981"
"Mishamaster","4947381"
"Mishamaster","4947495"
"uragan123","4779964"
"uragan123","4789981"
"uragan123","4295949"
"uragan123","4666235"
"Orel706","4968665"
"Orel706","4789981"
"Orel706","4947381"
"Orel706","5037521"
"Orel706","5922797"
"Vanya-Pro","4789981"
