author_id,pageid,page_title,category
553,4525,Сравнение досуга столичного и московского дворянства второй половины XVIII века,Работы историков ИГН
415,4541,Отношения СССР с Китаем в годы кризиса Версальско-Вашингтонской системы: Советско-китайский договор о ненападении 1937г.,Работы историков ИГН
621,4541,Отношения СССР с Китаем в годы кризиса Версальско-Вашингтонской системы: Советско-китайский договор о ненападении 1937г.,Работы историков ИГН
700,4541,Отношения СССР с Китаем в годы кризиса Версальско-Вашингтонской системы: Советско-китайский договор о ненападении 1937г.,Работы историков ИГН
471,4586,"Проблема подхода к изучению поэмы Н.В. Гоголя ""Мертвые души"" в 9-м классе",Работы филологов ИГН
1221,4586,"Проблема подхода к изучению поэмы Н.В. Гоголя ""Мертвые души"" в 9-м классе",Работы филологов ИГН
539,4589,"Человеческие пороки в ""Маленьких трагедиях"" А.С. Пушкина",Работы филологов ИГН
707,4589,"Человеческие пороки в ""Маленьких трагедиях"" А.С. Пушкина",Работы филологов ИГН
411,4600,"Обсуждение концепции ""Москва - Третий Рим"" на страницах журнала ""Русская беседа"" в период 1856—1860 гг.",Работы историков ИГН
558,4600,"Обсуждение концепции ""Москва - Третий Рим"" на страницах журнала ""Русская беседа"" в период 1856—1860 гг.",Работы историков ИГН
411,4650,Народный суд как компонент колониального дискурса в отечественной историографии,Работы историков ИГН
570,4650,Народный суд как компонент колониального дискурса в отечественной историографии,Работы историков ИГН
456,4729,Мистика в лирических произведениях А.С. Пушкина,Работы филологов ИГН
457,4729,Мистика в лирических произведениях А.С. Пушкина,Работы филологов ИГН
1193,5756,Wealth Distribution,Social statistic research
1194,5756,Wealth Distribution,Social statistic research
1197,5756,Wealth Distribution,Social statistic research
1200,5756,Wealth Distribution,Social statistic research
1204,5756,Wealth Distribution,Social statistic research
2067,5756,Wealth Distribution,Social statistic research
1172,5945,Взаимосвязь развития математической компетентности и особенностей письменной и устной речи,Психо-лингвистическое исследование
1843,5945,Взаимосвязь развития математической компетентности и особенностей письменной и устной речи,Психо-лингвистическое исследование
1254,6052,Комплексный анализ для ЕГЭ: от шаблонного сочинения к филологическому исследованию,Работы филологов ИГН
1257,6052,Комплексный анализ для ЕГЭ: от шаблонного сочинения к филологическому исследованию,Работы филологов ИГН
1258,6052,Комплексный анализ для ЕГЭ: от шаблонного сочинения к филологическому исследованию,Работы филологов ИГН
1241,6069,С легкостью пера - пиши как классик!,Работы филологов ИГН
1249,6069,С легкостью пера - пиши как классик!,Работы филологов ИГН
1246,6079,Русская классика на театральной сцене,Работы филологов ИГН
1412,6079,Русская классика на театральной сцене,Работы филологов ИГН
1372,6237,Тенденции развития международного образования 2025/Занятие 2,ТРМО-2025
1375,6237,Тенденции развития международного образования 2025/Занятие 2,ТРМО-2025
1370,6269,Character.ai,EducationalTechnology
1376,6269,Character.ai,EducationalTechnology
1733,6269,Character.ai,EducationalTechnology
1821,6269,Character.ai,EducationalTechnology
1246,6313,Комизм по-чеховски,Работы филологов ИГН
1247,6313,Комизм по-чеховски,Работы филологов ИГН
1367,6351,Таблица тенденций международного образования,ТРМО-2025
1368,6351,Таблица тенденций международного образования,ТРМО-2025
1369,6351,Таблица тенденций международного образования,ТРМО-2025
1370,6351,Таблица тенденций международного образования,ТРМО-2025
1371,6351,Таблица тенденций международного образования,ТРМО-2025
1372,6351,Таблица тенденций международного образования,ТРМО-2025
1374,6351,Таблица тенденций международного образования,ТРМО-2025
1375,6351,Таблица тенденций международного образования,ТРМО-2025
1376,6351,Таблица тенденций международного образования,ТРМО-2025
1397,6351,Таблица тенденций международного образования,ТРМО-2025
1368,6370,ИИ-агент (Ростелеком Лицей),EducationalTechnology
1371,6370,ИИ-агент (Ростелеком Лицей),EducationalTechnology
1372,6373,Педагогическая симуляция,EducationalTechnology
1378,6373,Педагогическая симуляция,EducationalTechnology
1193,6442,Как провести регрессионный анализ,Social statistic research
1194,6442,Как провести регрессионный анализ,Social statistic research
1195,6442,Как провести регрессионный анализ,Social statistic research
1197,6442,Как провести регрессионный анализ,Social statistic research
1198,6442,Как провести регрессионный анализ,Social statistic research
1199,6442,Как провести регрессионный анализ,Social statistic research
1200,6442,Как провести регрессионный анализ,Social statistic research
1201,6442,Как провести регрессионный анализ,Social statistic research
1202,6442,Как провести регрессионный анализ,Social statistic research
1204,6442,Как провести регрессионный анализ,Social statistic research
1586,6492,Чимборасо,ТРМО-2025
1639,6492,Чимборасо,ТРМО-2025
1368,6497,ИИ-агент (МГПУ),EducationalTechnology
1371,6497,ИИ-агент (МГПУ),EducationalTechnology
1493,6651,Источники и историография приобретения Россией южного берега Каспийского моря в 1720-х гг.,Работы историков ИГН
1495,6651,Источники и историография приобретения Россией южного берега Каспийского моря в 1720-х гг.,Работы историков ИГН
1642,6912,Ассинхронное обучение,EducationalTechnology
1643,6912,Ассинхронное обучение,EducationalTechnology
1642,6913,Varvara VR,EducationalTechnology
1643,6913,Varvara VR,EducationalTechnology
1193,7066,Ethnocentrism (model),Social statistic research
1194,7066,Ethnocentrism (model),Social statistic research
1200,7066,Ethnocentrism (model),Social statistic research
1201,7066,Ethnocentrism (model),Social statistic research
1293,7066,Ethnocentrism (model),Social statistic research
1201,7164,Эксперименты с моделью School Choice ABM,Social statistic research
1204,7164,Эксперименты с моделью School Choice ABM,Social statistic research
1502,7212,Становление и развитие научной исторической школы В. В. Рябова и его последователей,Работы историков ИГН
1590,7212,Становление и развитие научной исторической школы В. В. Рябова и его последователей,Работы историков ИГН
1198,7507,Эксперименты с моделью Urban Suite - Economic Disparity,Social statistic research
1203,7507,Эксперименты с моделью Urban Suite - Economic Disparity,Social statistic research
1535,7507,Эксперименты с моделью Urban Suite - Economic Disparity,Social statistic research
1529,7619,Эксперименты с моделью Segregation,Social statistic research
1670,7619,Эксперименты с моделью Segregation,Social statistic research
1495,7709,Исторические источники (отечественные и зарубежные) по проблеме «особого пути» России в журнальной периодике 30-х—50-х гг. XIX века,Работы историков ИГН
2211,7709,Исторические источники (отечественные и зарубежные) по проблеме «особого пути» России в журнальной периодике 30-х—50-х гг. XIX века,Работы историков ИГН
